participant,visualization,age_group,accuracy,response_time,errors
P01,Bar,Younger,1,2.81,1
P01,Line,Younger,1,1.57,0
P01,Pie,Younger,0,1.97,1
P01,Table,Younger,1,2.58,0
P02,Bar,Older,1,4.11,2
P02,Line,Older,0,1.31,0
P02,Pie,Older,0,3.39,0
P02,Table,Older,1,0.97,2
P03,Bar,Younger,1,1.98,0
P03,Line,Younger,1,3.96,0
P03,Pie,Younger,1,3.66,0
P03,Table,Younger,1,2.58,0
P04,Bar,Older,0,3.11,1
P04,Line,Older,1,3.17,1
P04,Pie,Older,0,1.75,1
P04,Table,Older,1,4.08,0
P05,Bar,Younger,0,4.7,1
P05,Line,Younger,1,2.6,0
P05,Pie,Younger,1,2.25,0
P05,Table,Younger,0,1.36,1
P06,Bar,Older,0,2.44,0
P06,Line,Older,0,4.1,1
P06,Pie,Older,1,5.96,2
P06,Table,Older,0,2.75,1
P07,Bar,Younger,1,4.16,0
P07,Line,Younger,0,3.32,0
P07,Pie,Younger,1,2.45,0
P07,Table,Younger,1,2.87,0
P08,Bar,Older,0,2.62,0
P08,Line,Older,1,8.25,0
P08,Pie,Older,0,3.3,1
P08,Table,Older,0,4.12,0
P09,Bar,Younger,0,2.37,2
P09,Line,Younger,1,3.81,0
P09,Pie,Younger,0,1.89,2
P09,Table,Younger,1,0.94,0
P10,Bar,Older,1,4.22,1
P10,Line,Older,1,1.5,0
P10,Pie,Older,0,2.92,3
P10,Table,Older,1,2.94,0
P11,Bar,Younger,0,1.38,0
P11,Line,Younger,1,3.8,0
P11,Pie,Younger,0,2.12,3
P11,Table,Younger,1,1.32,0
P12,Bar,Older,1,2.22,1
P12,Line,Older,1,5.66,1
P12,Pie,Older,1,1.36,1
P12,Table,Older,1,2.14,0
P13,Bar,Younger,1,2.31,2
P13,Line,Younger,0,2.8,1
P13,Pie,Younger,0,3.27,0
P13,Table,Younger,1,2.48,0
P14,Bar,Older,1,3.57,0
P14,Line,Older,1,4.61,1
P14,Pie,Older,1,4.27,2
P14,Table,Older,1,1.71,1
P15,Bar,Younger,0,5.73,1
P15,Line,Younger,1,3.55,0
P15,Pie,Younger,0,3.59,1
P15,Table,Younger,1,2.51,2
P16,Bar,Older,1,2.79,1
P16,Line,Older,0,2.92,2
P16,Pie,Older,0,2.02,1
P16,Table,Older,1,3.5,0
P17,Bar,Younger,1,3.67,0
P17,Line,Younger,1,1.28,1
P17,Pie,Younger,1,2.55,2
P17,Table,Younger,1,1.8,0
P18,Bar,Older,1,2.21,0
P18,Line,Older,1,3.07,1
P18,Pie,Older,1,3.22,0
P18,Table,Older,1,3.06,0
P19,Bar,Younger,0,2.71,0
P19,Line,Younger,0,1.81,0
P19,Pie,Younger,1,2.31,1
P19,Table,Younger,1,4.75,2
P20,Bar,Older,1,3.36,0
P20,Line,Older,0,1.85,0
P20,Pie,Older,0,5.13,1
P20,Table,Older,1,2.34,1
P21,Bar,Younger,0,3.8,2
P21,Line,Younger,1,2.2,2
P21,Pie,Younger,1,2.4,1
P21,Table,Younger,0,3.09,0
P22,Bar,Older,1,1.82,0
P22,Line,Older,0,2.52,0
P22,Pie,Older,1,3.16,1
P22,Table,Older,1,4.47,1
P23,Bar,Younger,1,4.88,0
P23,Line,Younger,1,1.88,0
P23,Pie,Younger,0,1.57,1
P23,Table,Younger,1,2.25,0
P24,Bar,Older,1,1.71,0
P24,Line,Older,0,2.0,0
P24,Pie,Older,0,3.38,1
P24,Table,Older,1,2.3,0
P25,Bar,Younger,1,2.51,0
P25,Line,Younger,1,1.61,0
P25,Pie,Younger,1,2.81,0
P25,Table,Younger,1,2.81,0
P26,Bar,Older,1,3.3,0
P26,Line,Older,0,6.97,0
P26,Pie,Older,1,1.41,2
P26,Table,Older,0,4.13,0
P27,Bar,Younger,1,2.08,0
P27,Line,Younger,1,6.79,0
P27,Pie,Younger,1,1.45,4
P27,Table,Younger,0,3.97,1
P28,Bar,Older,1,2.83,0
P28,Line,Older,0,1.67,0
P28,Pie,Older,0,2.76,1
P28,Table,Older,0,2.11,1
P29,Bar,Younger,0,3.91,2
P29,Line,Younger,1,3.03,1
P29,Pie,Younger,0,4.5,2
P29,Table,Younger,1,2.27,1
P30,Bar,Older,1,1.42,0
P30,Line,Older,0,1.71,1
P30,Pie,Older,0,2.4,1
P30,Table,Older,1,2.07,1
